1 input_1v1.asc 1 Missile against 1 target Jan 10 2025 22:14:01
  0  0 20
time            vmach_m1        SBEL1_m1        SBEL2_m1        SBEL3_m1        
VBEL1_m1        VBEL2_m1        VBEL3_m1        mseek_m1        dvae_t1         
SAEL1_t1        SAEL2_t1        SAEL3_t1        VAEL1_t1        VAEL2_t1        
VAEL3_t1        psial_t1        thtal_t1        phiavx_t1       anx_t1          
835.455         0.264746        379.329         4               250.001         
8562.24         335.675         -2000.02        -243.551        -56.4237        
-0.00406491     -2.91394        1.62596e-05     45              1.41421         
6               2.74152         5328.84         212.47          -3133.36        
817.609         -4.5826         374.41          4               250.001         
8513.57         324.199         -2000.02        -243.1          -58.334         
-0.00406491     -2.90609        1.62596e-05     45              1.41421         
6.2             2.68504         5490.63         211.094         -3058.98        
800.374         -9.21238        369.363         4               250.001         
8465            312.342         -2000.03        -242.635        -60.2407        
-0.00406491     -2.89824        1.62596e-05     45              1.41421         
6.4             2.63027         5649.03         208.799         -2985.62        
783.701         -13.7127        364.252         4               250.001         
8416.52         300.103         -2000.03        -242.155        -62.1438        
-0.00406491     -2.89039        1.62595e-05     45              1.41421         
6.6             2.57713         5804.15         205.608         -2913.28        
767.558         -18.1526        359.106         4               250.001         
8368.14         287.485         -2000.03        -241.659        -64.0429        
-0.00406491     -2.88253        1.62595e-05     45              1.41421         
6.8             2.52558         5956.09         201.53          -2841.97        
751.926         -22.4568        353.935         4               250.002         
8319.86         274.486         -2000.03        -241.149        -65.9382        
-0.00406491     -2.87468        1.62595e-05     45              1.41421         
7               2.47554         6104.95         196.576         -2771.71        
736.763         -27.0008        348.75          4               250.002         
8271.68         261.11          -2000.03        -240.624        -67.8294        
-0.00406491     -2.86683        1.62595e-05     45              1.41421         
7.2             2.42697         6250.82         190.727         -2702.47        
722.056         -31.5513        343.56          4               250.002         
8223.61         247.355         -2000.03        -240.084        -69.7164        
-0.00406491     -2.85898        1.62595e-05     45              1.41421         
7.4             2.37987         6393.8          184.01          -2634.28        
707.823         -35.5466        338.392         4               250.002         
8175.65         233.223         -2000.03        -239.53         -71.5991        
-0.00406491     -2.85113        1.62595e-05     45              1.41421         
7.6             2.33415         6533.98         176.473         -2567.12        
694.01          -39.7781        333.227         4               250.002         
8127.8          218.716         -2000.03        -238.96         -73.4774        
-0.00406491     -2.84328        1.62595e-05     45              1.41421         
7.8             2.28977         6671.43         168.082         -2500.99        
680.587         -44.2054        328.087         4               250.002         
8080.06         203.833         -2000.03        -238.376        -75.3511        
-0.00406491     -2.83543        1.62595e-05     45              1.41421         
8               2.24673         6806.24         158.836         -2435.88        
667.562         -48.3076        323.031         4               250.002         
8032.45         188.576         -2000.03        -237.777        -77.2202        
-0.00406491     -2.82758        1.62595e-05     45              1.41421         
8.2             2.20495         6938.48         148.776         -2371.77        
654.902         -52.3614        318.037         4               250.002         
7984.95         172.945         -2000.03        -237.164        -79.0846        
-0.00406491     -2.81973        1.62595e-05     45              1.41421         
8.4             2.16436         7068.22         137.882         -2308.66        
642.577         -56.6177        313.069         4               250.002         
7937.58         156.942         -2000.03        -236.535        -80.9441        
-0.00406491     -2.81188        1.62595e-05     45              1.41421         
8.6             2.12496         7195.53         126.155         -2246.53        
630.583         -60.6494        308.215         4               250.002         
7890.34         140.568         -2000.03        -235.893        -82.7986        
-0.00406491     -2.80403        1.62595e-05     45              1.41421         
8.8             2.08671         7320.48         113.636         -2185.36        
618.894         -64.5433        303.483         4               250.002         
7843.23         123.823         -2000.04        -235.235        -84.648         
-0.00406491     -2.79618        1.62595e-05     45              1.41421         
9               2.04951         7443.11         100.322         -2125.14        
607.482         -68.5742        298.811         4               250.002         
7796.25         106.709         -2000.04        -234.564        -86.4921        
-0.00406491     -2.78832        1.62595e-05     45              1.41421         
9.2             2.01326         7563.48         86.1697         -2065.84        
596.3           -73.0945        294.11          4               250.002         
7749.4          89.2265         -2000.04        -233.877        -88.331         
-0.00406491     -2.78047        1.62595e-05     45              1.41421         
9.4             1.97792         7681.64         71.0828         -2007.49        
585.319         -77.8562        289.455         4               250.002         
7702.7          71.3768         -2000.04        -233.177        -90.1644        
-0.00406491     -2.77262        1.62595e-05     45              1.41421         
9.427           1.97321         7697.43         68.9718         -1999.68        
583.847         -78.5105        288.838         5               250.002         
7696.64         69.0295         -2000.04        -233.085        -90.4023        
-0.00406491     -2.7716         1.62595e-05     45              1.41421         
9.427           1.97321         7697.43         68.9718         -1999.68        
583.847         -78.5105        288.838         5               250.002         
7696.64         69.0295         -2000.04        -233.085        -90.4023        
-0.00406491     -2.7716         1.62595e-05     45              1.41421         
9.427           1.97321         7697.43         68.9718         -1999.68        
583.847         -78.5105        288.838         5               250.002         
7696.64         69.0295         -2000.04        -233.085        -90.4023        
-0.00406491     -2.7716         1.62595e-05     45              1.41421         
9.427           1.97321         7697.43         68.9718         -1999.68        
583.847         -78.5105        288.838         5               250.002         
7696.64         69.0295         -2000.04        -233.085        -90.4023        
-0.00406491     -2.7716         1.62595e-05     45              1.41421         
9.427           1.97321         7697.43         68.9718         -1999.68        
583.847         -78.5105        288.838         5               250.002         
7696.64         69.0295         -2000.04        -233.085        -90.4023        
-0.00406491     -2.7716         1.62595e-05     45              1.41421         
9.427           1.97321         7697.43         68.9718         -1999.68        
583.847         -78.5105        288.838         5               250.002         
7696.64         69.0295         -2000.04        -233.085        -90.4023        
-0.00406491     -2.7716         1.62595e-05     45              1.41421         
9.427           1.97321         7697.43         68.9718         -1999.68        
583.847         -78.5105        288.838         5               250.002         
7696.64         69.0295         -2000.04        -233.085        -90.4023        
-0.00406491     -2.7716         1.62595e-05     45              1.41421         
9.427           1.97321         7697.43         68.9718         -1999.68        
583.847         -78.5105        288.838         5               250.002         
7696.64         69.0295         -2000.04        -233.085        -90.4023        
-0.00406491     -2.7716         1.62595e-05     45              1.41421         
9.427           1.97321         7697.43         68.9718         -1999.68        
583.847         -78.5105        288.838         5               250.002         
7696.64         69.0295         -2000.04        -233.085        -90.4023        
-0.00406491     -2.7716         1.62595e-05     45              1.41421         
9.427           1.97321         7697.43         68.9718         -1999.68        
583.847         -78.5105        288.838         5               250.002         
7696.64         69.0295         -2000.04        -233.085        -90.4023        
-0.00406491     -2.7716         1.62595e-05     45              1.41421         
9.427           1.97321         7697.43         68.9718         -1999.68        
583.847         -78.5105        288.838         5               250.002         
7696.64         69.0295         -2000.04        -233.085        -90.4023        
-0.00406491     -2.7716         1.62595e-05     45              1.41421         
9.427           1.97321         7697.43         68.9718         -1999.68        
583.847         -78.5105        288.838         5               250.002         
7696.64         69.0295         -2000.04        -233.085        -90.4023        
-0.00406491     -2.7716         1.62595e-05     45              1.41421         
9.427           1.97321         7697.43         68.9718         -1999.68        
583.847         -78.5105        288.838         5               250.002         
7696.64         69.0295         -2000.04        -233.085        -90.4023        
-0.00406491     -2.7716         1.62595e-05     45              1.41421         
-1.0            1.97321         7697.43         68.9718         -1999.68        
583.847         -78.5105        288.838         5               250.002         
7696.64         69.0295         -2000.04        -233.085        -90.4023        
-0.00406491     -2.7716         1.62595e-05     45              1.41421         
