1 input_1v1.asc 1 Missile against 1 target ' Missile ' Jan 10 2025 22:14:03
  0  0 50
time,lconv,vmach,pdynmc,psiblx,thtblx,phiblx,alppx,phipx,alphax,betax,ppx,qqx,rrx,SBEL1,SBEL2,SBEL3,dvbe,hbe,psivlx,thtvlx,anx,ayx,dts,thrust,gavail,gmax,trcond,dbt,thtpbx,psipbx,all,ann,dtbc,dvtbc,psiobcx,thtobcx,range,azimuthx,elevationx,dpx,dqx,drx,miss,MISS1,MISS2,MISS3,psiptx,thtptx,critmax,
0.55,0,1.40821,75051.8,2.29954,-15.3954,-4.66723,12.7169,-175.597,-12.6806,-0.968233,-30.7575,-20.8482,1.65256,189.341,0.153945,-4997.49,451.809,4997.49,0.319769,-2.82825,-5.77871,0.454875,10075.6,36548.9,35.2311,40.6361,0,10139.6,0,0,0,0,10139.7,675.304,0.475207,-1.84526,10139.6,2.9492,-17.1949,0.696713,-1.42419,-0.541899,0,0,0,0,0,0,200,
0.6,0,1.47083,81889.2,2.33969,-15.3643,-5.4208,11.7505,-176.105,-11.7241,-0.792732,2.60579,12.7771,1.66694,212.393,0.309994,-4996.15,471.897,4996.15,0.448213,-3.79236,-4.67071,0.236397,10063.4,36570.4,38.0333,43.2344,0,10105.3,0,0,0,0,10105.4,696.521,0.419191,-1.93191,10105.3,2.95746,-17.2472,0.582975,1.9906,-0.984513,0,0,0,0,0,0,200,
0.65,0,1.53458,89162.6,2.49428,-14.9788,-5.20949,10.6163,-174.71,-10.5721,-0.973261,0.208557,-3.41541,5.0306,236.432,0.521545,-4994.39,492.35,4994.39,0.56159,-4.54538,-3.79628,0.402315,10051.1,36591.8,41.171,45.8213,0,10070,0,0,0,0,10070.1,717.727,0.249271,-2.35311,10070,2.96562,-17.2992,0.467525,3.15,-0.697233,0,0,0,0,0,0,200,
0.7,0,1.59895,96827,2.77009,-15.667,-5.6434,10.6174,-174.348,-10.567,-1.03978,-12.4398,-22.2556,2.10331,261.472,0.795641,-4992.25,513,4992.25,0.694923,-5.23951,-4.59939,0.554762,10038.9,36613.1,43.5334,48.3565,0,10033.5,0,0,0,0,10033.6,739.058,0.0403279,-1.69645,10033.5,2.97363,-17.3513,0.637149,0.695063,-0.373657,0,0,0,0,0,0,200,
0.75,0,1.66338,104823,2.88678,-16.6146,-6.15154,10.7991,-175.175,-10.7617,-0.902934,-3.39739,-10.9637,-1.04911,287.511,1.14373,-4989.68,533.673,4989.68,0.834736,-6.00863,-5.62487,0.468058,10026.6,36634.5,44.6725,50,0,9996.03,0,0,0,0,9996.15,760.588,0.0204754,-0.795167,9996.03,2.98142,-17.4031,0.656914,-1.18684,-0.569387,0,0,0,0,0,0,200,
0.8,0,1.72829,113210,2.87077,-16.8216,-6.0494,10.2558,-175.31,-10.2222,-0.834175,5.55899,-0.680644,0.0206545,314.542,1.56753,-4986.66,554.509,4986.66,0.957556,-6.75126,-4.96631,0.385568,10014.4,36655.7,44.951,50,0,9957.45,0,0,0,0,9957.58,782.249,0.0633078,-0.642952,9957.45,2.98898,-17.4545,0.532756,0.260761,-0.664935,0,0,0,0,0,0,200,
0.85,0,1.79392,122027,2.93176,-17.0618,-5.84268,9.84006,-174.966,-9.80284,-0.859213,2.03161,-11.3084,0.939596,342.573,2.06339,-4983.17,575.576,4983.17,1.06831,-7.39304,-4.68273,0.451103,10002.1,36559.7,45.0761,50,0,9917.78,0,0,0,0,9917.92,803.973,0.0362498,-0.44949,9917.78,2.99634,-17.5055,0.4903,0.747938,-0.505319,0,0,0,0,0,0,200,
0.9,0,1.85963,131199,3.02562,-17.7942,-5.89793,9.92814,-175.237,-9.89453,-0.82028,-2.48317,-15.6337,-0.587216,371.609,2.63372,-4979.24,596.674,4979.24,1.18181,-8.0272,-5.29507,0.471038,9989.88,36444.4,44.8088,50,0,9877.02,0,0,0,0,9877.18,825.733,0.0258885,0.236841,9877.02,3.00348,-17.5562,0.509515,-0.43431,-0.448284,0,0,0,0,0,0,200,
0.95,0,1.92528,140708,3.05291,-18.4738,-5.96533,9.94941,-175.807,-9.9233,-0.723906,1.50014,-11.45,-0.759457,401.64,3.28182,-4974.83,617.758,4974.83,1.28807,-8.67461,-5.59625,0.393296,9977.63,36329.2,44.5791,50,0,9835.18,0,0,0,0,9835.35,847.512,0.0751589,0.864524,9835.18,3.01038,-17.6065,0.489972,-0.628572,-0.553045,0,0,0,0,0,0,200,
1,0,1.99099,150575,3.09476,-19.0067,-5.82835,9.8437,-175.918,-9.81921,-0.69735,3.05625,-10.3098,-0.0159465,432.661,4.00626,-4969.92,638.867,4969.92,1.38678,-9.30522,-5.77361,0.414722,9965.38,36213.9,44.4227,50,0,9792.24,0,0,0,0,9792.43,869.29,0.0917664,1.34849,9792.24,3.01705,-17.6561,0.438602,-0.689092,-0.484557,0,0,0,0,0,0,200,
1.05,0,2.05671,160797,3.13651,-19.4775,-5.73663,9.68586,-176.014,-9.66287,-0.670128,1.97816,-7.11078,-0.372947,464.666,4.80869,-4964.5,659.989,4964.5,1.48498,-9.92939,-6.38673,0.443822,9953.14,36098.5,43.942,50,0,9748.21,0,0,0,0,9748.42,891.07,0.101455,1.77142,9748.21,3.02346,-17.7051,0.426419,-1.08612,-0.446242,0,0,0,0,0,0,200,
1.1,0,2.12246,171378,3.12922,-19.5953,-5.52909,9.17885,-175.924,-9.15602,-0.649707,7.27953,3.5502,-0.23165,497.647,5.69122,-4958.53,681.127,4958.53,1.57909,-10.5548,-6.70412,0.456718,9940.9,35969.2,43.6477,50,0,9703.1,0,0,0,0,9703.32,912.859,0.117835,1.83966,9703.1,3.02961,-17.7533,0.378315,-1.11299,-0.451323,0,0,0,0,0,0,200,
1.15,0,2.18853,182371,3.08506,-19.1538,-4.97605,8.15882,-175.109,-8.12951,-0.69324,14.5631,13.5312,0.224878,531.602,6.65357,-4952.02,702.377,4952.02,1.66598,-11.1352,-6.22941,0.514772,9928.65,35824.7,43.8919,50,0,9656.89,0,0,0,0,9657.13,934.681,0.108109,1.34943,9656.89,3.03549,-17.8005,0.290196,-0.401054,-0.424645,0,0,0,0,0,0,200,
1.2,0,2.25516,193826,3.06318,-18.4789,-4.08083,6.99757,-173.406,-6.95173,-0.801581,20.4179,10.4408,1.3469,566.538,7.69366,-4944.98,723.815,4944.98,1.74239,-11.6181,-5.12093,0.588658,9916.41,35680.2,44.5598,50,0,9609.6,0,0,0,0,9609.85,956.542,0.0650152,0.629212,9609.6,3.04112,-17.8471,0.185368,0.857061,-0.41177,0,0,0,0,0,0,200,
1.25,0,2.32217,205721,3.15704,-18.3507,-3.11965,6.47175,-171.419,-6.39991,-0.963679,16.8684,-7.75642,2.14495,602.472,8.80948,-4937.46,745.382,4937.46,1.81551,-12.01,-4.63779,0.782441,9904.17,35535.7,44.8341,50,0,9561.2,0,0,0,0,9561.48,978.406,-0.034987,0.460614,9561.2,3.04651,-17.8931,0.112876,1.34319,-0.218694,0,0,0,0,0,0,200,
1.3,0,2.38914,217990,3.2376,-19.0272,-2.6306,6.73186,-171.398,-6.65682,-1.00458,2.45907,-14.8662,-1.1065,639.406,10.0071,-4929.46,766.943,4929.46,1.90005,-12.4136,-5.80835,0.942593,9891.92,35391.1,44.188,50,0,9511.72,0,0,0,0,9512.01,1000.28,-0.0774949,1.09354,9511.72,3.05162,-17.9388,0.135767,-0.188822,-0.126455,0,0,0,0,0,0,200,
1.35,0,2.45589,230601,3.14398,-19.4754,-2.6378,6.70863,-172.816,-6.65644,-0.83708,-0.0477136,-2.21258,-2.00422,677.326,11.2918,-4920.95,788.441,4920.95,1.97609,-12.868,-6.14966,0.70528,9879.68,35247.1,43.8926,50,0,9461.14,0,0,0,0,9461.45,1022.15,0.0393592,1.49188,9461.14,3.05641,-17.9839,0.176585,-0.211091,-0.435118,0,0,0,0,0,0,200,
1.4,0,2.52274,243619,3.15386,-19.5465,-2.41806,6.36362,-172.538,-6.31016,-0.82478,7.8015,-4.09357,2.40732,716.226,12.6533,-4911.91,809.984,4911.91,2.03206,-13.2782,-5.5252,0.698456,9867.44,35108.9,44.1445,50,0,9409.47,0,0,0,0,9409.79,1044,0.0340545,1.51884,9409.47,3.06095,-18.0282,0.118713,0.750998,-0.356704,0,0,0,0,0,0,200,
